Metric,Dataset,Rank,Method,Mean,Median,N,Best,Worst
temporal_consistency,EtriActivity3D,9.0,3D-Sampled-Occl-Sens,0.040150475028591856,-0.0005956644890829999,30,False,True
temporal_consistency,Kinetics400,1.0,SaliencyTubes,0.9620257576306661,0.9698470532894135,30,True,False
temporal_consistency,Kinetics400,2.0,GradCAM,0.9352013071378072,0.9369028210639954,30,False,False
temporal_consistency,Kinetics400,3.0,LV-Univ-Pred,0.9119471808274587,0.9148751795291901,30,False,False
temporal_consistency,Kinetics400,4.0,3D-LIME,0.909831686814626,0.9102562367916107,30,False,False
temporal_consistency,Kinetics400,5.0,3D-Kernel-SHAP,0.8951122303803761,0.8953844904899597,30,False,False
temporal_consistency,Kinetics400,6.0,LV-LOCO,0.8892723182837169,0.886622965335846,30,False,False
temporal_consistency,Kinetics400,7.0,AOSA,0.8864837984244028,0.8870695233345032,30,False,False
temporal_consistency,Kinetics400,8.0,3D-RISE,0.39839203357696534,0.3658381402492523,30,False,False
temporal_consistency,Kinetics400,9.0,3D-Sampled-Occl-Sens,-0.024238559929653982,-0.05505870468914505,30,False,True
temporal_consistency,Overall,1.0,SaliencyTubes,0.9741361697514852,0.9814359843730927,60,True,False
temporal_consistency,Overall,2.0,LV-Univ-Pred,0.9477483659982682,0.9538523554801941,60,False,False
temporal_consistency,Overall,3.0,3D-LIME,0.9427125006914139,0.9554051756858826,60,False,False
temporal_consistency,Overall,4.0,GradCAM,0.9374779403209687,0.9466292560100555,60,False,False
temporal_consistency,Overall,5.0,3D-Kernel-SHAP,0.9350398550430934,0.9511896371841431,60,False,False
temporal_consistency,Overall,6.0,AOSA,0.9311584840218227,0.9504146873950958,60,False,False
temporal_consistency,Overall,7.0,LV-LOCO,0.9227213680744171,0.925846427679062,60,False,False
temporal_consistency,Overall,8.0,3D-RISE,0.4457267183189591,0.4448792487382889,60,False,False
temporal_consistency,Overall,9.0,3D-Sampled-Occl-Sens,0.007955957549468935,-0.01368999527767295,60,False,True
