metric,Dataset,method,method_display,N,mean,std,median,q25,q75,IQR,direction
iou_value,EtriActivity3D,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,30,0.12358530024308217,0.07525175984730773,0.1196588059334118,0.06735356593617838,0.16529046520569007,0.0979368992695117,higher
iou_value,EtriActivity3D,AOSA,AOSA,30,0.20052171129886567,0.15132339406598327,0.15339672809587154,0.08200767114367515,0.31537218225660607,0.23336451111293094,higher
iou_value,EtriActivity3D,GradCAM,GradCAM,30,0.23472746070760916,0.13461600535454446,0.26567557557600985,0.10624582805360028,0.3406892253944441,0.2344433973408438,higher
iou_value,EtriActivity3D,LV-LOCO-NEW,LV-LOCO,30,0.3173048842383224,0.20226605808916492,0.2922285925446775,0.13846132409106984,0.47312891232390125,0.3346675882328314,higher
iou_value,EtriActivity3D,LV-Univ-Pred-NEW,LV-Univ-Pred,30,0.25404439934650547,0.2162419841648993,0.23198113435179069,0.05525704723162055,0.36438300910909005,0.3091259618774695,higher
iou_value,EtriActivity3D,SaliencyTubes,SaliencyTubes,30,0.2645594008545645,0.12398034137048135,0.27400341107333726,0.1789050487081874,0.3470941000319454,0.168189051323758,higher
iou_value,Kinetics400,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,30,0.3300201309577745,0.2561018403680717,0.261469185225275,0.09276071145279775,0.5653202698922224,0.47255955843942465,higher
iou_value,Kinetics400,3D-LIME-NEW,3D-LIME,30,0.3288685176813952,0.26587340577707547,0.21941242955606244,0.09194118094221662,0.5884296314023404,0.4964884504601238,higher
iou_value,Kinetics400,3D-RISE-NEW,3D-RISE,30,0.3315837975336994,0.2692150751356137,0.21941242955606244,0.09215446266090452,0.5884296314023404,0.49627516874143585,higher
iou_value,Kinetics400,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,30,0.33045922370574216,0.263537833183738,0.21794289937866354,0.12670146113611194,0.5884296314023404,0.4617281702662285,higher
iou_value,Kinetics400,AOSA,AOSA,30,0.32867588420680455,0.26530452508901387,0.21941242955606244,0.09194118094221662,0.5884296314023404,0.4964884504601238,higher
iou_value,Kinetics400,GradCAM,GradCAM,30,0.329571113145371,0.2422887718174346,0.29726165256922066,0.09839634694806296,0.5271532278497019,0.4287568809016389,higher
iou_value,Kinetics400,LV-LOCO-NEW,LV-LOCO,30,0.33598631211848823,0.26646791084738264,0.2610652523076959,0.09041370709754412,0.580975534935516,0.49056182783797186,higher
iou_value,Kinetics400,LV-Univ-Pred-NEW,LV-Univ-Pred,30,0.31912864762285953,0.2627920383310598,0.2163238813804494,0.09252741547201047,0.5521707642374348,0.45964334876542434,higher
iou_value,Kinetics400,SaliencyTubes,SaliencyTubes,30,0.3348603473529964,0.24522282625132236,0.2978934872302167,0.11350562486600457,0.5532188948569646,0.43971326999096005,higher
iou_value,Overall,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,60,0.30220479403784045,0.2259556670794049,0.2391839769905302,0.07491564098366153,0.4703881801615869,0.39547253917792535,higher
iou_value,Overall,3D-LIME-NEW,3D-LIME,60,0.3172555182236779,0.2387940832453486,0.2472690930328223,0.11982159921852002,0.45580712410664376,0.3359855248881237,higher
iou_value,Overall,3D-RISE-NEW,3D-RISE,60,0.2812207412890818,0.2147607870751857,0.21941242955606244,0.12041463812302387,0.39587465094099605,0.27546001281797217,higher
